Year,Deepfake Papers,Deepfake Papers With Ethical Consideration
2000,0.00E+00,0.00E+00
2001,3.47E-02,3.47E-02
2002,8.58E-02,8.58E-02
2003,1.45E-01,1.45E-01
2004,2.42E-01,2.42E-01
2005,3.06E-01,3.06E-01
2006,3.71E-01,3.71E-01
2007,4.48E-01,4.48E-01
2008,5.32E-01,5.32E-01
2009,6.18E-01,6.18E-01
2010,6.98E-01,6.98E-01
2011,7.76E-01,7.76E-01
2012,8.40E-01,8.40E-01
2013,9.10E-01,9.10E-01
2014,9.49E-01,9.49E-01
2015,9.91E-01,9.91E-01
2016,1.00E+00,1.00E+00
2017,9.19E-01,9.19E-01
2018,9.10E-01,9.10E-01
2019,9.39E-01,9.39E-01
2020,9.51E-01,9.51E-01
2021,6.88E-01,6.88E-01
2022,2.69E-01,2.69E-01
